service_id,category,service_name,unit,min_price_vnd,max_price_vnd,pricing_rule,agent_permission,status,source_version
STD_WASH_DRY_LT6,standard_weight,"Giặt sấy dưới 6kg",kg,25000,25000,"actual_kg < 6; billable_kg=max(actual_kg,1)",AUTO_ESTIMATE,OWNER_CONFIRMED,PRICEBOOK_V1
STD_WASH_DRY_GE6,standard_weight,"Giặt sấy từ 6kg trở lên",kg,20000,20000,"actual_kg >= 6",AUTO_ESTIMATE,OWNER_CONFIRMED,PRICEBOOK_V1
DRY_WET_CLOTHES,drying,"Sấy riêng quần áo ướt",kg,20000,20000,"fixed per kg",LIST_PRICE_ONLY,OWNER_CONFIRMED,PRICEBOOK_V1
DRY_BEDDING,drying,"Sấy riêng chăn ga",kg,30000,30000,"fixed per kg",LIST_PRICE_ONLY,OWNER_CONFIRMED,PRICEBOOK_V1
BED_BLANKET,bedding,"Chăn",kg,30000,30000,"fixed per kg",LIST_PRICE_ONLY,OWNER_CONFIRMED,PRICEBOOK_V1
BED_TOPPER,bedding,"Topper",kg,50000,50000,"fixed per kg",LIST_PRICE_ONLY,OWNER_CONFIRMED,PRICEBOOK_V1
BED_PILLOW,bedding,"Gối",cái,30000,90000,"range by size/material/condition",RANGE_ONLY_HUMAN_FINAL,OWNER_CONFIRMED,PRICEBOOK_V1
IRON_KNIT,ironing,"Áo, quần thun",cái,15000,15000,"fixed per item",LIST_PRICE_ONLY,OWNER_CONFIRMED,PRICEBOOK_V1
IRON_TROUSERS_SHIRT,ironing,"Quần tây, sơ mi",cái,20000,20000,"fixed per item",LIST_PRICE_ONLY,OWNER_CONFIRMED,PRICEBOOK_V1
IRON_SUIT,ironing,"Áo vest",cái,30000,30000,"fixed per item",LIST_PRICE_ONLY,OWNER_CONFIRMED,PRICEBOOK_V1
IRON_DESIGNER_DRESS,ironing,"Váy thiết kế",cái,30000,30000,"fixed per item",LIST_PRICE_ONLY,OWNER_CONFIRMED,PRICEBOOK_V1
LEATHER_JACKET_DRESS,leather,"Áo da, váy da",cái,80000,120000,"range by size/material/condition",RANGE_ONLY_HUMAN_FINAL,OWNER_CONFIRMED,PRICEBOOK_V1
LEATHER_HANDBAG,leather,"Túi xách da",cái,80000,150000,"range by size/material/condition",RANGE_ONLY_HUMAN_FINAL,OWNER_CONFIRMED,PRICEBOOK_V1
DC_SUIT,dry_cleaning,"Áo vest nam, nữ",cái,100000,150000,"range by item/condition",RANGE_ONLY_HUMAN_FINAL,OWNER_CONFIRMED,PRICEBOOK_V1
DC_VEST,dry_cleaning,"Áo ghi lê",cái,35000,45000,"range by item/condition",RANGE_ONLY_HUMAN_FINAL,OWNER_CONFIRMED,PRICEBOOK_V1
