promotion_id,scope_type,scope_value,discount_rate,applicability,agent_permission,notes
PROMO_WET30_DRY40_20260717_20260831,service_id,STD_WASH_DRY_LT6,0.30,CONFIRMED,AUTO_APPLY,"Giặt quần áo"
PROMO_WET30_DRY40_20260717_20260831,service_id,STD_WASH_DRY_GE6,0.30,CONFIRMED,AUTO_APPLY,"Giặt quần áo"
PROMO_WET30_DRY40_20260717_20260831,service_id,BED_BLANKET,0.30,CONFIRMED,AUTO_APPLY,"Chăn"
PROMO_WET30_DRY40_20260717_20260831,service_id,BED_PILLOW,0.30,CONFIRMED,RANGE_ONLY_HUMAN_FINAL,"Gối; nhân viên chọn giá niêm yết trong khoảng trước khi giảm"
PROMO_WET30_DRY40_20260717_20260831,category,shoes,0.30,CONFIRMED,APPLY_WITH_BASE_PRICE_PERMISSION,"Vệ sinh giày dép"
PROMO_WET30_DRY40_20260717_20260831,service_id,OTHER_CURTAIN,0.30,CONFIRMED,AUTO_APPLY,"Giặt rèm thường"
PROMO_WET30_DRY40_20260717_20260831,service_id,OTHER_CURTAIN_INSTALL,0.30,PARTIAL_SCOPE,HUMAN_CONFIRM,"Xác nhận ưu đãi có áp cả phí tháo/lắp hay chỉ phần giặt"
PROMO_WET30_DRY40_20260717_20260831,service_id,OTHER_SOFT_CARPET,0.30,CONFIRMED,RANGE_ONLY_HUMAN_FINAL,"Giặt thảm mềm"
PROMO_WET30_DRY40_20260717_20260831,service_id,OTHER_HARD_CARPET,0.30,CONFIRMED,AUTO_APPLY,"Giặt thảm cứng"
PROMO_WET30_DRY40_20260717_20260831,service_id,OTHER_PLUSH,0.30,CONFIRMED,RANGE_ONLY_HUMAN_FINAL,"Gấu bông"
PROMO_WET30_DRY40_20260717_20260831,category,dry_cleaning,0.40,CONFIRMED,APPLY_WITH_BASE_PRICE_PERMISSION,"Toàn bộ mục giặt khô"
PROMO_WET30_DRY40_20260717_20260831,category,drying,0.30,UNCLEAR,HUMAN_CONFIRM,"Sấy riêng không đồng nghĩa giặt ướt"
PROMO_WET30_DRY40_20260717_20260831,category,ironing,0.30,OUT_OF_SCOPE,HUMAN_CONFIRM,"Biển không nêu dịch vụ ủi"
PROMO_WET30_DRY40_20260717_20260831,category,leather,0.40,UNCLEAR,HUMAN_CONFIRM,"Làm mới đồ da không mặc định là giặt khô"
PROMO_WET30_DRY40_20260717_20260831,service_id,BED_TOPPER,0.30,UNCLEAR,HUMAN_CONFIRM,"Chưa được nêu rõ trên biển"
PROMO_WET30_DRY40_20260717_20260831,service_id,OTHER_SOFA,0.30,UNCLEAR,HUMAN_CONFIRM,"Chưa được nêu rõ trên biển"
PROMO_WET30_DRY40_20260717_20260831,service_id,OTHER_STAIN,0.30,UNCLEAR,HUMAN_CONFIRM,"Dịch vụ xử lý riêng"
PROMO_WET30_DRY40_20260717_20260831,service_id,OTHER_PILLOW_INSERT,0.30,UNCLEAR,HUMAN_CONFIRM,"Tẩy ruột gối không mặc định là giặt gối"
