account_id,business_name,segment,public_source_url,source_retrieved_at,zone,distance_km,rooms_or_units_estimate,fit_score,fit_reason,stage,owner,next_action,next_action_at,do_not_contact
P001-NHA-TRANG-LIVING,Nha Trang Living,CONDOTEL_APARTMENT,https://www.trip.com/hotels/nha-trang-hotel-detail-11179039/nha-trang-living/,2026-08-18,FREE_DELIVERY_LE_2KM,0.7,5,45/45,Condotel apartment · ~5 phòng/căn · cách tiệm ~0.7km · giao nhận miễn phí,PROSPECT_TIER_A,,"Ghé tận nơi, xin gặp người phụ trách",,
P002-NHA-TRANG-4-RENT,Nha Trang 4 Rent,CONDOTEL_APARTMENT,https://nhatrang4rent.com/loc-tho-area/,2026-08-18,FREE_DELIVERY_LE_2KM,0.7,,45/45,Condotel apartment · cách tiệm ~0.7km · giao nhận miễn phí,PROSPECT_TIER_A,,"Ghé tận nơi, xin gặp người phụ trách",,
P003-APARTMENT-NGUYEN-THIEN-THUAT,Apartment Nguyen Thien Thuat,CONDOTEL_APARTMENT,https://www.trip.com/hotels/nha-trang-hotel-detail-22905867/apartment-nguyen-thien-thuat/,2026-08-18,FREE_DELIVERY_LE_2KM,0.8,,45/45,Condotel apartment · cách tiệm ~0.8km · giao nhận miễn phí,PROSPECT_TIER_A,,"Ghé tận nơi, xin gặp người phụ trách",,
P004-BEAU-RIVAGE-NHA-TRANG,Beau Rivage Nha Trang,CONDOTEL_APARTMENT,"https://photon.komoot.io/api/?q=Beau+Rivage+Nha+Trang,+Tran+Phu",2026-08-18,FREE_DELIVERY_LE_2KM,0.9,,45/45,Condotel apartment · cách tiệm ~0.9km · giao nhận miễn phí,PROSPECT_TIER_A,,"Ghé tận nơi, xin gặp người phụ trách",,
P005-THE-COSTA-NHA-TRANG-RESIDENCES,The Costa Nha Trang Residences,CONDOTEL_APARTMENT,https://nhatranghousing.com/en/the-ultimate-guide-to-apartment-rentals-in-nha-trang-top-residences-and-local-insights-nd164.html,2026-08-18,FREE_DELIVERY_LE_2KM,0.9,,45/45,Condotel apartment · cách tiệm ~0.9km · giao nhận miễn phí,PROSPECT_TIER_A,,"Ghé tận nơi, xin gặp người phụ trách",,
P006-GIA-KHANG-HOME,Gia Khang Home,CONDOTEL_APARTMENT,https://giakhanghome.com/cho-thue-can-ho-dich-vu-nha-dan-nha-trang/,2026-08-18,FREE_DELIVERY_LE_2KM,1.0,,45/45,Condotel apartment · cách tiệm ~1.0km · giao nhận miễn phí,PROSPECT_TIER_A,,"Ghé tận nơi, xin gặp người phụ trách",,
P007-THE-ASCOTT-LIMITED-CITADINES-BAYFR,The Ascott Limited (Citadines Bayfront Nha Trang),CONDOTEL_APARTMENT,https://www.discoverasr.com/en/citadines/vietnam/citadines-bayfront-nha-trang/apartment,2026-08-18,FREE_DELIVERY_LE_2KM,1.0,,45/45,Condotel apartment · cách tiệm ~1.0km · giao nhận miễn phí,PROSPECT_TIER_A,,"Ghé tận nơi, xin gặp người phụ trách",,
P008-S-LUX-APARTMENT-VIRGO,S Lux Apartment Virgo,CONDOTEL_APARTMENT,https://www.booking.com/aparthotels/city/vn/nha-trang.html,2026-08-18,FREE_DELIVERY_LE_2KM,1.1,,45/45,Condotel apartment · cách tiệm ~1.1km · giao nhận miễn phí,PROSPECT_TIER_A,,"Ghé tận nơi, xin gặp người phụ trách",,
P009-VIRGO-NHA-TRANG,Virgo Nha Trang,CONDOTEL_APARTMENT,https://nhatranghousing.com/en/top-apartment-buildings-to-rent-in-nha-trang-your-ultimate-guide-to-coastal-living-nd163.html,2026-08-18,FREE_DELIVERY_LE_2KM,1.1,,45/45,Condotel apartment · cách tiệm ~1.1km · giao nhận miễn phí,PROSPECT_TIER_A,,"Ghé tận nơi, xin gặp người phụ trách",,
P010-GOLD-COAST-NHA-TRANG,Gold Coast Nha Trang,CONDOTEL_APARTMENT,https://nhatranghousing.com/en/the-ultimate-guide-to-apartment-rentals-in-nha-trang-top-residences-and-local-insights-nd164.html,2026-08-18,FREE_DELIVERY_LE_2KM,1.2,,45/45,Condotel apartment · cách tiệm ~1.2km · giao nhận miễn phí,PROSPECT_TIER_A,,"Ghé tận nơi, xin gặp người phụ trách",,
